Bin,Classification,Genome_Length,Completeness,Redundancy
3300009517-bin.12,o__Cytophagales,7.52184,100,0
3300009517-bin.13,o__Burkholderiales,4.422216,99.8442367601246,0.058411214953271
3300009517-bin.18,c__Alphaproteobacteria,4.515055,100,0.487012987012987
3300009517-bin.19,f__Comamonadaceae,3.940028,99.6904024767802,1.04231166150671
3300009517-bin.1,o__Cytophagales,4.850289,99.1071428571429,0.595238095238095
3300009517-bin.20,o__Actinomycetales,3.08495,96.03861003861,4.63063063063063
3300009517-bin.21,p__Bacteroidetes,4.185784,99.0147783251231,0
3300009517-bin.22,o__Actinomycetales,3.635914,93.213668887244,1.62348877374784
3300009517-bin.25,o__Actinomycetales,4.139388,98.8648648648649,0.540540540540541
3300009517-bin.27,o__Burkholderiales,3.484508,99.0654205607477,0.700934579439252
3300009517-bin.29,o__Rhizobiales,3.589362,98.5370950888192,0.167189132706374
3300009517-bin.30,o__Flavobacteriales,2.78366,100,0.490196078431373
3300009517-bin.31,f__Flavobacteriaceae,3.088261,99.2932862190813,0.353356890459364
3300009517-bin.36,k__Bacteria,4.795255,91.1680911680912,0.427350427350427
3300009517-bin.37,f__Xanthomonadaceae,3.615735,99.6059113300493,0.890804597701149
3300009517-bin.39,f__Xanthomonadaceae,2.769552,98.1264367816092,0.915161466885605
3300009517-bin.3,o__Actinomycetales,3.662903,98.9526411657559,0.546448087431694
3300009517-bin.42,o__Burkholderiales,6.437877,99.6105919003115,2.83155318202047
3300009517-bin.44,o__Actinomycetales,3.870297,90.5243029854429,1.20898100172712
3300009517-bin.47,f__Rhodobacteraceae,4.341736,97.5151515151515,2.07575757575758
3300009517-bin.49,o__Sphingomonadales,4.371832,99.9799237100984,1.55591246737603
3300009517-bin.4,o__Burkholderiales,3.391324,99.2990654205608,0.992990654205608
3300009517-bin.50,o__Actinomycetales,3.810769,92.1299871299871,2.77992277992278
3300009517-bin.52,o__Actinomycetales,3.554087,90.6723414754503,3.09647174932149
3300009517-bin.6,c__Alphaproteobacteria,2.980669,98.4307359307359,0.324675324675325
3300009517-bin.7,o__Actinomycetales,2.934589,97.8114478114478,0
3300026282-bin.12,f__Xanthomonadaceae,2.81273,99.0229885057471,0
3300026282-bin.15,o__Actinomycetales,3.093982,98.018018018018,0.540540540540541
3300026282-bin.17,o__Flavobacteriales,2.748949,99.2647058823529,0.245098039215686
3300026282-bin.18,f__Rhodobacteraceae,3.411734,93.3838383838384,1.96969696969697
3300026282-bin.19,o__Rhizobiales,3.993307,94.894436164928,2.06284153005464
3300026282-bin.21,p__Bacteroidetes,3.977724,96.4969896004379,1.47783251231527
3300026282-bin.22,k__Bacteria,3.321396,93.9393939393939,1.34408602150538
3300026282-bin.26,o__Actinomycetales,4.142505,98.9189189189189,0.540540540540541
3300026282-bin.29,c__Betaproteobacteria,4.705999,99.8412698412698,0.238095238095238
3300026282-bin.34,o__Actinomycetales,4.012101,97.1766848816029,0.819672131147541
3300026282-bin.35,k__Bacteria,2.647329,90.2550091074681,1.74863387978142
3300026282-bin.36,k__Bacteria,3.697881,96.9945355191257,1.09289617486339
3300026282-bin.37,f__Flavobacteriaceae,3.234474,97.6055421238609,0.353356890459364
3300026282-bin.3,f__Rhodobacteraceae,3.890882,99.5353535353536,0.757575757575758
3300026282-bin.4,c__Betaproteobacteria,4.343859,100,0.504201680672269
3300026282-bin.5,c__Alphaproteobacteria,2.627818,99.9458874458875,0
3300026282-bin.6,o__Rhizobiales,3.937124,99.6835443037975,0.0287686996547756
3300026283-bin.10,o__Actinomycetales,3.10017,98.018018018018,0.540540540540541
