locus_tag	ftype	length_bp	gene	EC_number	COG	product
BHPJCNLP_00001	CDS	1233				hypothetical protein
BHPJCNLP_00002	CDS	753				hypothetical protein
BHPJCNLP_00003	CDS	828				hypothetical protein
BHPJCNLP_00004	CDS	996	prfB			Peptide chain release factor 2
BHPJCNLP_00005	CDS	336	sugE		COG2076	Quaternary ammonium compound-resistance protein SugE
BHPJCNLP_00006	CDS	1629	rocA1	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase 1
BHPJCNLP_00007	CDS	450				hypothetical protein
BHPJCNLP_00008	CDS	543				hypothetical protein
BHPJCNLP_00009	CDS	1284	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
BHPJCNLP_00010	CDS	612	pyrR_1			Bifunctional protein pyrR
BHPJCNLP_00011	CDS	1437				hypothetical protein
BHPJCNLP_00012	tRNA	72				tRNA-Gln(ttg)
BHPJCNLP_00013	CDS	1134				hypothetical protein
BHPJCNLP_00014	CDS	1677				hypothetical protein
BHPJCNLP_00015	CDS	1218	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
BHPJCNLP_00016	CDS	1185	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
BHPJCNLP_00017	CDS	768				hypothetical protein
BHPJCNLP_00018	CDS	1104	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
BHPJCNLP_00019	CDS	441				hypothetical protein
BHPJCNLP_00020	CDS	435	ssb_1		COG0629	Single-stranded DNA-binding protein
BHPJCNLP_00021	CDS	2583				hypothetical protein
BHPJCNLP_00022	CDS	636	dgk	2.7.1.113	COG1428	Deoxyguanosine kinase
BHPJCNLP_00023	CDS	633	sulD		COG0801	Bifunctional folate synthesis protein
BHPJCNLP_00024	CDS	1713	sppA	3.4.21.-	COG0616	Protease 4
BHPJCNLP_00025	CDS	1131	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
BHPJCNLP_00026	CDS	528				hypothetical protein
