GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000585095.1	959448	N/A	N/A	
GCA_001897745.1	3782588	N/A	N/A	
GCA_002304785.1	5016098	N/A	N/A	
GCA_002345025.1	5066758	N/A	N/A	
GCA_002345285.1	5067018	N/A	N/A	
GCA_002352265.1	5085118	N/A	N/A	
GCA_002425405.1	5168078	N/A	N/A	
GCA_002433845.1	5176518	N/A	N/A	
GCA_002455435.1	5199018	N/A	N/A	
GCA_003332265.1	6923558	N/A	N/A	
GCA_003487685.1	7317548	N/A	N/A	
GCA_003535635.1	7392748	N/A	N/A	
GCA_003538495.1	7396348	N/A	N/A	
GCA_003542235.1	7401158	N/A	N/A	
GCA_005524045.1	10146468	N/A	N/A	
GCA_900089955.1	3310968	N/A	N/A	
GCA_000024165.1	24968	GCF_000024165.1	44768	
GCA_000584955.2	1179728	GCF_000584955.1	1433598	
GCA_000584975.2	1179738	GCF_000584975.1	1433738	
GCA_000584995.1	959348	GCF_000584995.1	1433458	
GCA_000585015.1	959368	GCF_000585015.1	1433678	
GCA_000585035.2	1179768	GCF_000585035.1	1433578	
GCA_000585055.1	959408	GCF_000585055.1	1523848	
GCA_000585075.1	959428	GCF_000585075.1	1640238	
GCA_000987395.1	1747168	GCF_000987395.1	1748138	
GCA_000987445.1	1747258	GCF_000987445.1	1748118	
GCA_005889575.1	10745448	GCF_005889575.1	10753768	
GCA_000367525.2	850488	GCF_000367525.1	850508	
GCA_001046855.1	1855718	GCF_001046855.1	1857948	
GCA_001046875.1	1855738	GCF_001046875.1	1857868	
GCA_001050535.1	1861988	GCF_001050535.1	1891298	
GCA_001428065.1	2568048	GCF_001428065.1	2571778	
GCA_002846495.1	5799728	GCF_002846495.1	5813268	
GCA_003002895.1	6233818	GCF_003002895.1	6249048	
