locus_tag	ftype	length_bp	gene	EC_number	COG	product
MLAOFOFF_00001	CDS	729				hypothetical protein
MLAOFOFF_00002	CDS	1278	codA	3.5.4.1	COG0402	Cytosine deaminase
MLAOFOFF_00003	CDS	948				hypothetical protein
MLAOFOFF_00004	CDS	1047				hypothetical protein
MLAOFOFF_00005	CDS	1530	xylG_1	3.6.3.17	COG1129	Xylose import ATP-binding protein XylG
MLAOFOFF_00006	CDS	1065				Purine-binding protein
MLAOFOFF_00007	CDS	465	ibpA_1		COG0071	Small heat shock protein IbpA
MLAOFOFF_00008	CDS	801				hypothetical protein
MLAOFOFF_00009	CDS	816	blaSE	3.4.21.19	COG3591	Glutamyl endopeptidase
MLAOFOFF_00010	CDS	339				hypothetical protein
MLAOFOFF_00011	CDS	1290	lutA		COG0247	Lactate utilization protein A
MLAOFOFF_00012	CDS	1164		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
MLAOFOFF_00013	CDS	1434		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
MLAOFOFF_00014	CDS	690				hypothetical protein
MLAOFOFF_00015	CDS	372				hypothetical protein
MLAOFOFF_00016	CDS	192				hypothetical protein
MLAOFOFF_00017	CDS	2088				hypothetical protein
MLAOFOFF_00018	CDS	2766				hypothetical protein
MLAOFOFF_00019	CDS	906				hypothetical protein
MLAOFOFF_00020	CDS	1005	ravA	3.6.3.-		ATPase RavA
MLAOFOFF_00021	CDS	570				hypothetical protein
MLAOFOFF_00022	CDS	930	iolG_1	1.1.1.18		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
MLAOFOFF_00023	CDS	708	legF	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
MLAOFOFF_00024	CDS	792	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MLAOFOFF_00025	CDS	1335	waaA_1	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
MLAOFOFF_00026	CDS	1275	waaA_2	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
MLAOFOFF_00027	CDS	1134	siaA	3.2.1.183	COG0381	UDP-N-acetylglucosamine 2-epimerase
MLAOFOFF_00028	CDS	783				hypothetical protein
MLAOFOFF_00029	CDS	678				hypothetical protein
MLAOFOFF_00030	CDS	765				hypothetical protein
MLAOFOFF_00031	CDS	633				hypothetical protein
MLAOFOFF_00032	CDS	675				hypothetical protein
MLAOFOFF_00033	CDS	2025	oatA	2.3.1.-		O-acetyltransferase OatA
MLAOFOFF_00034	CDS	1029	legI	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
MLAOFOFF_00035	CDS	504				hypothetical protein
MLAOFOFF_00036	CDS	624	mobA_1	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
MLAOFOFF_00037	CDS	303	tusA		COG0425	Sulfur carrier protein TusA
MLAOFOFF_00038	CDS	618	rplY		COG1825	50S ribosomal protein L25
MLAOFOFF_00039	CDS	1164				hypothetical protein
MLAOFOFF_00040	CDS	1164	lldD_1	1.1.-.-	COG1304	L-lactate dehydrogenase
MLAOFOFF_00041	CDS	792	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
MLAOFOFF_00042	CDS	489				hypothetical protein
MLAOFOFF_00043	CDS	1098	ychF		COG0012	Ribosome-binding ATPase YchF
MLAOFOFF_00044	CDS	1695	ade	3.5.4.2	COG1001	Adenine deaminase
MLAOFOFF_00045	CDS	483	hndA	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
MLAOFOFF_00046	CDS	1524	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
MLAOFOFF_00047	CDS	2889		1.17.1.9		Putative formate dehydrogenase
MLAOFOFF_00048	CDS	819	fdhD		COG1526	Sulfur carrier protein FdhD
MLAOFOFF_00049	CDS	216				hypothetical protein
MLAOFOFF_00050	CDS	1494				hypothetical protein
MLAOFOFF_00051	CDS	318				hypothetical protein
MLAOFOFF_00052	CDS	1059				hypothetical protein
MLAOFOFF_00053	CDS	2058	murG_1	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
MLAOFOFF_00054	CDS	423				hypothetical protein
MLAOFOFF_00055	CDS	672	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
MLAOFOFF_00056	CDS	1047				hypothetical protein
MLAOFOFF_00057	CDS	387				hypothetical protein
MLAOFOFF_00058	CDS	552				hypothetical protein
MLAOFOFF_00059	CDS	327				hypothetical protein
MLAOFOFF_00060	CDS	1233	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
MLAOFOFF_00061	CDS	447	phnO	2.3.1.-		Aminoalkylphosphonate N-acetyltransferase
MLAOFOFF_00062	CDS	645	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
MLAOFOFF_00063	CDS	363				hypothetical protein
MLAOFOFF_00064	CDS	282	ihfB		COG0776	Integration host factor subunit beta
MLAOFOFF_00065	CDS	1686	rpsA		COG0539	30S ribosomal protein S1
MLAOFOFF_00066	CDS	633	yfkO	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YfkO
MLAOFOFF_00067	CDS	588	cmk	2.7.4.25		Cytidylate kinase
MLAOFOFF_00068	CDS	513				hypothetical protein
MLAOFOFF_00069	CDS	1350	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
MLAOFOFF_00070	CDS	1179				hypothetical protein
MLAOFOFF_00071	CDS	711	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
MLAOFOFF_00072	CDS	465	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
MLAOFOFF_00073	CDS	1278				hypothetical protein
MLAOFOFF_00074	CDS	294				hypothetical protein
MLAOFOFF_00075	CDS	1167	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
MLAOFOFF_00076	CDS	1530	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
MLAOFOFF_00077	CDS	882	tlyC		COG1253	Hemolysin C
MLAOFOFF_00078	CDS	570	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
MLAOFOFF_00079	CDS	1020	ybeZ		COG1702	PhoH-like protein
MLAOFOFF_00080	CDS	1317	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
MLAOFOFF_00081	CDS	930				hypothetical protein
MLAOFOFF_00082	CDS	1509	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
MLAOFOFF_00083	CDS	405	perR_1		COG0735	Peroxide operon regulator
MLAOFOFF_00084	CDS	510	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
MLAOFOFF_00085	CDS	1230	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
MLAOFOFF_00086	CDS	777	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
MLAOFOFF_00087	CDS	684	hdl IVa_1	3.8.1.2		(S)-2-haloacid dehalogenase 4A
MLAOFOFF_00088	CDS	828	lip1	3.1.1.3		Lipase 1
MLAOFOFF_00089	CDS	978	thadh	4.3.1.16		L-threo-3-hydroxyaspartate ammonia-lyase
MLAOFOFF_00090	CDS	1002	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
MLAOFOFF_00091	CDS	216				hypothetical protein
MLAOFOFF_00092	CDS	768	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
MLAOFOFF_00093	CDS	168				hypothetical protein
MLAOFOFF_00094	CDS	864	yddG		COG0697	Aromatic amino acid exporter YddG
MLAOFOFF_00095	CDS	723	phaB	1.1.1.36		Acetoacetyl-CoA reductase
MLAOFOFF_00096	CDS	1176	phaA	2.3.1.9		Acetyl-CoA acetyltransferase
MLAOFOFF_00097	CDS	840	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
MLAOFOFF_00098	CDS	570	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
MLAOFOFF_00099	CDS	555	tlpA		COG0526	Thiol:disulfide interchange protein TlpA
MLAOFOFF_00100	CDS	1392	argH	4.3.2.1	COG0165	Argininosuccinate lyase
MLAOFOFF_00101	CDS	162				hypothetical protein
MLAOFOFF_00102	CDS	147				hypothetical protein
MLAOFOFF_00103	CDS	387	yybR_1		COG1733	putative HTH-type transcriptional regulator YybR
MLAOFOFF_00104	CDS	849	qorB_1	1.6.5.2	COG0702	Quinone oxidoreductase 2
MLAOFOFF_00105	CDS	1140	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
MLAOFOFF_00106	CDS	921	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
MLAOFOFF_00107	CDS	957				hypothetical protein
MLAOFOFF_00108	CDS	645	cecR		COG1309	HTH-type transcriptional dual regulator CecR
MLAOFOFF_00109	CDS	1266	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
MLAOFOFF_00110	CDS	2652				hypothetical protein
MLAOFOFF_00111	CDS	873				hypothetical protein
MLAOFOFF_00112	CDS	672	ftsE		COG2884	Cell division ATP-binding protein FtsE
MLAOFOFF_00113	CDS	915				hypothetical protein
MLAOFOFF_00114	CDS	735				hypothetical protein
MLAOFOFF_00115	CDS	960	accA	6.4.1.2	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
MLAOFOFF_00116	CDS	957	mcl1_1	4.1.3.24	COG2301	L-malyl-CoA/beta-methylmalyl-CoA lyase
MLAOFOFF_00117	CDS	864	dat_1	2.6.1.21		D-alanine aminotransferase
MLAOFOFF_00118	CDS	669				hypothetical protein
MLAOFOFF_00119	CDS	315				hypothetical protein
MLAOFOFF_00120	CDS	654	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
MLAOFOFF_00121	CDS	741				hypothetical protein
MLAOFOFF_00122	CDS	1449	ttuE	2.7.1.40		Pyruvate kinase
MLAOFOFF_00123	CDS	222				hypothetical protein
MLAOFOFF_00124	CDS	198				hypothetical protein
