locus_tag	ftype	length_bp	gene	EC_number	COG	product
COICDMBG_00001	CDS	600	polC_1	2.7.7.7		DNA polymerase III PolC-type
COICDMBG_00002	CDS	1911	guaB_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
COICDMBG_00003	CDS	1626				hypothetical protein
COICDMBG_00004	CDS	3885				hypothetical protein
COICDMBG_00005	CDS	1977				hypothetical protein
COICDMBG_00006	CDS	762			COG2342	putative protein
COICDMBG_00007	CDS	1611				hypothetical protein
COICDMBG_00008	CDS	1545	bshA_1	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
COICDMBG_00009	CDS	1527	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
COICDMBG_00010	CDS	516				hypothetical protein
COICDMBG_00011	CDS	285				hypothetical protein
COICDMBG_00012	CDS	1266	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
COICDMBG_00013	CDS	516				hypothetical protein
COICDMBG_00014	CDS	1341	oprF_1			Outer membrane porin F
COICDMBG_00015	CDS	420				hypothetical protein
COICDMBG_00016	CDS	432				putative HTH-type transcriptional regulator
COICDMBG_00017	CDS	2391	fadN	1.1.1.35	COG1024	putative 3-hydroxyacyl-CoA dehydrogenase
COICDMBG_00018	CDS	357				hypothetical protein
COICDMBG_00019	CDS	1182	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
COICDMBG_00020	CDS	1791	fadE	1.3.99.-	COG1960	putative acyl-CoA dehydrogenase
COICDMBG_00021	CDS	1650				hypothetical protein
COICDMBG_00022	CDS	525	sodC	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn]
COICDMBG_00023	CDS	246				hypothetical protein
COICDMBG_00024	CDS	627				hypothetical protein
COICDMBG_00025	CDS	2280				hypothetical protein
COICDMBG_00026	CDS	1353				hypothetical protein
COICDMBG_00027	CDS	729				hypothetical protein
COICDMBG_00028	CDS	873	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
COICDMBG_00029	CDS	360				hypothetical protein
COICDMBG_00030	CDS	930	lpxD_1	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
COICDMBG_00031	CDS	567	efp		COG0231	Elongation factor P
COICDMBG_00032	CDS	783	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
COICDMBG_00033	CDS	1389	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
COICDMBG_00034	CDS	1020	lpxD_2	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
COICDMBG_00035	CDS	1233				hypothetical protein
COICDMBG_00036	CDS	1662	menD	2.2.1.9		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
COICDMBG_00037	CDS	537		2.3.1.-		L-methionine sulfoximine/L-methionine sulfone acetyltransferase
COICDMBG_00038	CDS	2631	valS	6.1.1.9	COG0525	Valine--tRNA ligase
COICDMBG_00039	CDS	435				hypothetical protein
COICDMBG_00040	CDS	1404		1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
COICDMBG_00041	CDS	453	lrp		COG1522	Leucine-responsive regulatory protein
COICDMBG_00042	CDS	1203	mgl	4.4.1.11	COG0626	L-methionine gamma-lyase
COICDMBG_00043	CDS	492				hypothetical protein
COICDMBG_00044	CDS	444				hypothetical protein
COICDMBG_00045	CDS	1347				hypothetical protein
COICDMBG_00046	CDS	1167	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
COICDMBG_00047	tRNA	75				tRNA-Arg(tct)
COICDMBG_00048	tRNA	76				tRNA-Pro(tgg)
COICDMBG_00049	tRNA	85				tRNA-Ser(gct)
COICDMBG_00050	CDS	1179	phaA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
COICDMBG_00051	CDS	762		3.4.22.-		Dipeptidyl-peptidase 6
COICDMBG_00052	CDS	2688	gyrA_1	5.99.1.3	COG0188	DNA gyrase subunit A
COICDMBG_00053	CDS	1857	gyrB_1	5.99.1.3		DNA gyrase subunit B
COICDMBG_00054	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
COICDMBG_00055	CDS	1167				hypothetical protein
COICDMBG_00056	CDS	534				hypothetical protein
COICDMBG_00057	CDS	351	fdx		COG1145	Ferredoxin
COICDMBG_00058	CDS	1074				hypothetical protein
COICDMBG_00059	CDS	1071	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
COICDMBG_00060	CDS	963		1.1.1.81	COG0111	Hydroxypyruvate reductase
COICDMBG_00061	CDS	561				hypothetical protein
COICDMBG_00062	CDS	426				hypothetical protein
COICDMBG_00063	CDS	318				hypothetical protein
COICDMBG_00064	CDS	678	folE_1	3.5.4.16	COG0302	GTP cyclohydrolase 1
COICDMBG_00065	CDS	711	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
COICDMBG_00066	CDS	774				hypothetical protein
COICDMBG_00067	CDS	1965	kup			Low affinity potassium transport system protein kup
COICDMBG_00068	CDS	1215	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
COICDMBG_00069	CDS	1086	bsn_1	3.1.-.-	COG2356	Extracellular ribonuclease
COICDMBG_00070	CDS	2100				putative protein/MSMEI_2664
COICDMBG_00071	CDS	924	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
COICDMBG_00072	CDS	546	pyrR_1			Bifunctional protein pyrR
COICDMBG_00073	CDS	1002	yqeN		COG1466	putative protein YqeN
COICDMBG_00074	CDS	447				hypothetical protein
COICDMBG_00075	CDS	1005	mftF	2.-.-.-	COG0463	Putative mycofactocin biosynthesis glycosyltransferase MftF
COICDMBG_00076	CDS	837	oprF_2		COG2885	Outer membrane porin F
COICDMBG_00077	CDS	1122	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
COICDMBG_00078	CDS	957				hypothetical protein
COICDMBG_00079	CDS	1593	bshC	6.-.-.-	COG4365	Putative cysteine ligase BshC
COICDMBG_00080	CDS	420	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
COICDMBG_00081	CDS	375				hypothetical protein
COICDMBG_00082	CDS	594	bsaA			Glutathione peroxidase BsaA
COICDMBG_00083	CDS	2202	btuB_1		COG4206	Vitamin B12 transporter BtuB
COICDMBG_00084	CDS	1290				hypothetical protein
COICDMBG_00085	CDS	540				hypothetical protein
COICDMBG_00086	CDS	651				hypothetical protein
COICDMBG_00087	CDS	531	sigK			ECF RNA polymerase sigma factor SigK
COICDMBG_00088	CDS	789				hypothetical protein
COICDMBG_00089	CDS	1083	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
COICDMBG_00090	CDS	1122	nylB_1	3.5.1.46		6-aminohexanoate-dimer hydrolase
COICDMBG_00091	CDS	189				hypothetical protein
COICDMBG_00092	CDS	1461	auaG	1.14.13.222		Aurachin C monooxygenase/isomerase
COICDMBG_00093	CDS	1347	rhlE_1	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
COICDMBG_00094	CDS	1923				hypothetical protein
COICDMBG_00095	CDS	1254	pyrC_1	3.5.2.3	COG0044	Dihydroorotase
COICDMBG_00096	CDS	327				hypothetical protein
COICDMBG_00097	CDS	645	estB	3.1.1.1	COG0400	Carboxylesterase 2
COICDMBG_00098	CDS	486				hypothetical protein
COICDMBG_00099	CDS	495				hypothetical protein
COICDMBG_00100	CDS	777	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
COICDMBG_00101	CDS	1470				hypothetical protein
COICDMBG_00102	CDS	453	bcp_1	1.11.1.15	COG1225	Peroxiredoxin Bcp
COICDMBG_00103	CDS	660	nth	4.2.99.18	COG0177	Endonuclease III
COICDMBG_00104	CDS	144				hypothetical protein
COICDMBG_00105	CDS	588	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
COICDMBG_00106	CDS	2790	uvrA_1			UvrABC system protein A
COICDMBG_00107	CDS	1410	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
COICDMBG_00108	CDS	498				hypothetical protein
COICDMBG_00109	CDS	735				hypothetical protein
COICDMBG_00110	CDS	231				hypothetical protein
COICDMBG_00111	CDS	366				hypothetical protein
COICDMBG_00112	CDS	1521	resA_1			Thiol-disulfide oxidoreductase ResA
COICDMBG_00113	CDS	1146	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
COICDMBG_00114	CDS	744		2.1.1.156		Glycine/sarcosine N-methyltransferase
