locus_tag	ftype	length_bp	gene	EC_number	COG	product
BCIHBGGE_00001	CDS	2712	rapA_1	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
BCIHBGGE_00002	CDS	2826				hypothetical protein
BCIHBGGE_00003	CDS	573				hypothetical protein
BCIHBGGE_00004	CDS	3084				hypothetical protein
BCIHBGGE_00005	CDS	879				hypothetical protein
BCIHBGGE_00006	CDS	1218				hypothetical protein
BCIHBGGE_00007	CDS	324				hypothetical protein
BCIHBGGE_00008	CDS	1335				hypothetical protein
BCIHBGGE_00009	CDS	633				hypothetical protein
BCIHBGGE_00010	CDS	1056				hypothetical protein
BCIHBGGE_00011	CDS	579				hypothetical protein
BCIHBGGE_00012	CDS	762	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
BCIHBGGE_00013	CDS	1146				hypothetical protein
BCIHBGGE_00014	CDS	903				hypothetical protein
BCIHBGGE_00015	CDS	453				hypothetical protein
BCIHBGGE_00016	CDS	408				hypothetical protein
BCIHBGGE_00017	CDS	780				hypothetical protein
BCIHBGGE_00018	tRNA	80				tRNA-Leu(tag)
BCIHBGGE_00019	CDS	1164				hypothetical protein
BCIHBGGE_00020	CDS	900				hypothetical protein
BCIHBGGE_00021	CDS	1674				hypothetical protein
BCIHBGGE_00022	tRNA	75				tRNA-Arg(tct)
BCIHBGGE_00023	CDS	993				hypothetical protein
BCIHBGGE_00024	CDS	2307				hypothetical protein
BCIHBGGE_00025	CDS	984				hypothetical protein
BCIHBGGE_00026	CDS	213				hypothetical protein
BCIHBGGE_00027	CDS	417				hypothetical protein
BCIHBGGE_00028	CDS	1149				hypothetical protein
BCIHBGGE_00029	CDS	405				hypothetical protein
BCIHBGGE_00030	CDS	252				hypothetical protein
BCIHBGGE_00031	CDS	2334				hypothetical protein
BCIHBGGE_00032	CDS	879	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
BCIHBGGE_00033	CDS	540				hypothetical protein
BCIHBGGE_00034	CDS	2139				hypothetical protein
BCIHBGGE_00035	CDS	327				hypothetical protein
BCIHBGGE_00036	CDS	600				hypothetical protein
BCIHBGGE_00037	CDS	672	copR_1			Transcriptional activator protein CopR
BCIHBGGE_00038	CDS	1836	walK_1	2.7.13.3		Sensor histidine kinase WalK
BCIHBGGE_00039	CDS	909	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
BCIHBGGE_00040	CDS	1458				hypothetical protein
BCIHBGGE_00041	CDS	654				hypothetical protein
BCIHBGGE_00042	CDS	972	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
BCIHBGGE_00043	CDS	1677	mprF_1	2.3.2.3		Phosphatidylglycerol lysyltransferase
BCIHBGGE_00044	CDS	750				hypothetical protein
BCIHBGGE_00045	CDS	1101	ychF		COG0012	Ribosome-binding ATPase YchF
BCIHBGGE_00046	CDS	2298	prkC_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
BCIHBGGE_00047	CDS	2442	pknB_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
BCIHBGGE_00048	CDS	1419				hypothetical protein
BCIHBGGE_00049	CDS	1671				hypothetical protein
BCIHBGGE_00050	CDS	573				hypothetical protein
BCIHBGGE_00051	CDS	1398	ttuB			Putative tartrate transporter
BCIHBGGE_00052	CDS	3216				hypothetical protein
BCIHBGGE_00053	CDS	1740				hypothetical protein
BCIHBGGE_00054	CDS	1206	pfp_1	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
BCIHBGGE_00055	CDS	1155				hypothetical protein
BCIHBGGE_00056	CDS	939				hypothetical protein
BCIHBGGE_00057	CDS	783				hypothetical protein
BCIHBGGE_00058	CDS	93				hypothetical protein
BCIHBGGE_00059	CDS	561	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
BCIHBGGE_00060	CDS	735				hypothetical protein
BCIHBGGE_00061	CDS	690	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
BCIHBGGE_00062	CDS	1245	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
BCIHBGGE_00063	CDS	1539	macA_1		COG0845	Macrolide export protein MacA
BCIHBGGE_00064	CDS	1743				hypothetical protein
BCIHBGGE_00065	CDS	1044				hypothetical protein
BCIHBGGE_00066	CDS	720				hypothetical protein
BCIHBGGE_00067	CDS	2403				hypothetical protein
BCIHBGGE_00068	CDS	822				hypothetical protein
BCIHBGGE_00069	CDS	489				hypothetical protein
BCIHBGGE_00070	CDS	735				hypothetical protein
BCIHBGGE_00071	CDS	609				hypothetical protein
BCIHBGGE_00072	CDS	1344				hypothetical protein
BCIHBGGE_00073	CDS	1302				hypothetical protein
BCIHBGGE_00074	CDS	948	draG	3.2.2.24	COG1397	ADP-ribosyl-[dinitrogen reductase] glycohydrolase
BCIHBGGE_00075	CDS	204				hypothetical protein
BCIHBGGE_00076	CDS	477				hypothetical protein
BCIHBGGE_00077	CDS	1254	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
BCIHBGGE_00078	CDS	558				hypothetical protein
BCIHBGGE_00079	CDS	459				Putative universal stress protein
BCIHBGGE_00080	CDS	540	uspF_1		COG0589	Universal stress protein F
BCIHBGGE_00081	CDS	1074	asrA		COG1145	Anaerobic sulfite reductase subunit A
BCIHBGGE_00082	CDS	870	asrB		COG0543	Anaerobic sulfite reductase subunit B
BCIHBGGE_00083	CDS	786	hoxY	1.12.1.2		NAD-reducing hydrogenase HoxS subunit delta
BCIHBGGE_00084	CDS	1365	hoxH	1.12.1.2		NAD-reducing hydrogenase HoxS subunit beta
BCIHBGGE_00085	CDS	1320		2.8.3.-	COG0427	Butanoate coenzyme A-transferase
BCIHBGGE_00086	CDS	2721	yloB	3.6.3.8	COG0474	Calcium-transporting ATPase
BCIHBGGE_00087	CDS	462	uspF_2		COG0589	Universal stress protein F
BCIHBGGE_00088	CDS	1659	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
BCIHBGGE_00089	CDS	1383				hypothetical protein
BCIHBGGE_00090	CDS	588	nudF_1	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
BCIHBGGE_00091	CDS	1827	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
BCIHBGGE_00092	CDS	1860				hypothetical protein
BCIHBGGE_00093	CDS	1020				hypothetical protein
BCIHBGGE_00094	CDS	1338				hypothetical protein
BCIHBGGE_00095	CDS	2550	uvrA_1		COG0178	UvrABC system protein A
BCIHBGGE_00096	CDS	423	yccU		COG1832	putative protein YccU
BCIHBGGE_00097	CDS	1329				hypothetical protein
BCIHBGGE_00098	CDS	216				hypothetical protein
BCIHBGGE_00099	CDS	822				hypothetical protein
BCIHBGGE_00100	CDS	882				hypothetical protein
BCIHBGGE_00101	CDS	1344				hypothetical protein
BCIHBGGE_00102	CDS	1605				hypothetical protein
BCIHBGGE_00103	CDS	468				hypothetical protein
BCIHBGGE_00104	CDS	648				hypothetical protein
BCIHBGGE_00105	CDS	519				hypothetical protein
BCIHBGGE_00106	CDS	1026				hypothetical protein
BCIHBGGE_00107	CDS	930	per1_1	3.5.2.6		Extended-spectrum beta-lactamase PER-1
BCIHBGGE_00108	CDS	2223	katG	1.11.1.21	COG0376	Catalase-peroxidase
BCIHBGGE_00109	CDS	423	perR		COG0735	Peroxide-responsive repressor PerR
BCIHBGGE_00110	CDS	1476		3.4.21.-		putative CtpA-like serine protease
BCIHBGGE_00111	CDS	618				hypothetical protein
BCIHBGGE_00112	CDS	1146				hypothetical protein
BCIHBGGE_00113	CDS	867	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
BCIHBGGE_00114	CDS	639	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
BCIHBGGE_00115	CDS	1263				hypothetical protein
BCIHBGGE_00116	CDS	924				hypothetical protein
BCIHBGGE_00117	CDS	630				hypothetical protein
BCIHBGGE_00118	CDS	1254	xerC_1		COG4974	Tyrosine recombinase XerC
BCIHBGGE_00119	CDS	225				hypothetical protein
BCIHBGGE_00120	CDS	1677				hypothetical protein
BCIHBGGE_00121	CDS	270				hypothetical protein
BCIHBGGE_00122	CDS	789				hypothetical protein
BCIHBGGE_00123	CDS	1581				hypothetical protein
BCIHBGGE_00124	CDS	618	pinR	3.1.22.-	COG1961	Serine recombinase PinR
BCIHBGGE_00125	tRNA	76				tRNA-Arg(acg)
BCIHBGGE_00126	CDS	696				hypothetical protein
BCIHBGGE_00127	CDS	891	lpxI	3.6.1.54	COG3494	UDP-2,3-diacylglucosamine pyrophosphatase LpxI
BCIHBGGE_00128	CDS	1245	ycf3_1			Photosystem I assembly protein Ycf3
BCIHBGGE_00129	CDS	1230				hypothetical protein
BCIHBGGE_00130	CDS	432				hypothetical protein
BCIHBGGE_00131	CDS	2262	glnA_1	6.3.1.2		Glutamine synthetase
BCIHBGGE_00132	CDS	3114	pknB_2	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
BCIHBGGE_00133	CDS	2295			COG2199	putative signaling protein
BCIHBGGE_00134	CDS	909				hypothetical protein
BCIHBGGE_00135	CDS	726				hypothetical protein
BCIHBGGE_00136	CDS	1527				hypothetical protein
BCIHBGGE_00137	CDS	2856				hypothetical protein
BCIHBGGE_00138	CDS	639				hypothetical protein
BCIHBGGE_00139	CDS	1836	typA		COG1217	GTP-binding protein TypA/BipA
BCIHBGGE_00140	CDS	1140	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
BCIHBGGE_00141	CDS	1350				hypothetical protein
BCIHBGGE_00142	CDS	1002		1.1.1.-		Putative 2-hydroxyacid dehydrogenase
BCIHBGGE_00143	CDS	1668	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
BCIHBGGE_00144	CDS	471				hypothetical protein
BCIHBGGE_00145	CDS	312				hypothetical protein
BCIHBGGE_00146	CDS	2766				hypothetical protein
BCIHBGGE_00147	CDS	1278				hypothetical protein
BCIHBGGE_00148	CDS	834	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
BCIHBGGE_00149	CDS	876		1.10.3.-	COG1496	Polyphenol oxidase
BCIHBGGE_00150	CDS	2142				hypothetical protein
BCIHBGGE_00151	CDS	1068				hypothetical protein
BCIHBGGE_00152	CDS	1578	ndhD1	1.6.5.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
BCIHBGGE_00153	CDS	2019	nuoL_1	1.6.5.11	COG1009	NADH-quinone oxidoreductase subunit L
BCIHBGGE_00154	CDS	330				hypothetical protein
BCIHBGGE_00155	CDS	1998	korA_1	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
BCIHBGGE_00156	CDS	879	korB_1	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
BCIHBGGE_00157	CDS	321				hypothetical protein
BCIHBGGE_00158	CDS	1074	dinB	2.7.7.7	COG0389	DNA polymerase IV
BCIHBGGE_00159	CDS	537				hypothetical protein
BCIHBGGE_00160	CDS	7959				hypothetical protein
BCIHBGGE_00161	CDS	855				hypothetical protein
BCIHBGGE_00162	CDS	1503	msrR		COG1316	Regulatory protein MsrR
BCIHBGGE_00163	CDS	672	tal	2.2.1.2	COG0176	putative transaldolase
BCIHBGGE_00164	CDS	1296				hypothetical protein
BCIHBGGE_00165	CDS	1716				hypothetical protein
BCIHBGGE_00166	CDS	573				hypothetical protein
BCIHBGGE_00167	CDS	843	mqnD	4.1.-.-	COG2107	1,4-dihydroxy-6-naphtoate synthase
BCIHBGGE_00168	CDS	948			COG1073	putative protein
BCIHBGGE_00169	CDS	1461	ycf3_2			Photosystem I assembly protein Ycf3
BCIHBGGE_00170	CDS	1440				hypothetical protein
BCIHBGGE_00171	CDS	1323				hypothetical protein
BCIHBGGE_00172	CDS	792	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
BCIHBGGE_00173	CDS	831				hypothetical protein
BCIHBGGE_00174	CDS	1614	murE_1	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
BCIHBGGE_00175	CDS	252	rpmA		COG0211	50S ribosomal protein L27
BCIHBGGE_00176	CDS	378	rplU		COG0261	50S ribosomal protein L21
BCIHBGGE_00177	CDS	189				hypothetical protein
BCIHBGGE_00178	CDS	540	prxU	1.11.1.15		Selenocysteine-containing peroxiredoxin PrxU
BCIHBGGE_00179	CDS	468	ykuV	1.8.-.-	COG0526	Thiol-disulfide oxidoreductase YkuV
BCIHBGGE_00180	CDS	1359	hemL_1	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
BCIHBGGE_00181	CDS	300	yciI		COG2350	Protein YciI
BCIHBGGE_00182	CDS	843				hypothetical protein
BCIHBGGE_00183	CDS	1263				hypothetical protein
BCIHBGGE_00184	CDS	984	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
