locus_tag	ftype	length_bp	gene	EC_number	COG	product
DGMFJBHF_00001	CDS	843				hypothetical protein
DGMFJBHF_00002	CDS	216				hypothetical protein
DGMFJBHF_00003	CDS	870		3.1.1.99		6-deoxy-6-sulfogluconolactonase
DGMFJBHF_00004	CDS	801	kynB	3.5.1.9		Kynurenine formamidase
DGMFJBHF_00005	CDS	1209	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
DGMFJBHF_00006	CDS	1557		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
DGMFJBHF_00007	CDS	951	rbn	3.1.-.-	COG1234	Ribonuclease BN
DGMFJBHF_00008	CDS	2421	fyuA_1		COG1629	Pesticin receptor
DGMFJBHF_00009	CDS	648	tetR			Tetracycline repressor protein class H
DGMFJBHF_00010	CDS	1890	fixL	2.7.13.3		Sensor protein FixL
DGMFJBHF_00011	CDS	1848			COG2199	putative signaling protein
DGMFJBHF_00012	CDS	1671	luxQ_1	2.7.13.3		Autoinducer 2 sensor kinase/phosphatase LuxQ
DGMFJBHF_00013	CDS	1266	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
DGMFJBHF_00014	CDS	306				hypothetical protein
DGMFJBHF_00015	CDS	1011		3.5.4.2	COG1816	Adenine deaminase
DGMFJBHF_00016	CDS	423				hypothetical protein
DGMFJBHF_00017	CDS	849	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
DGMFJBHF_00018	CDS	858	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
DGMFJBHF_00019	CDS	1023	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
DGMFJBHF_00020	CDS	1035	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
DGMFJBHF_00021	CDS	897	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
DGMFJBHF_00022	CDS	1734				hypothetical protein
DGMFJBHF_00023	CDS	1662		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
DGMFJBHF_00024	CDS	807	udg	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
DGMFJBHF_00025	CDS	1692	slt_1	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
DGMFJBHF_00026	CDS	930			COG2321	putative protein
DGMFJBHF_00027	CDS	312	higB-2		COG2026	Toxin HigB-2
DGMFJBHF_00028	CDS	294	higA-2		COG2944	Antitoxin HigA-2
DGMFJBHF_00029	CDS	450				hypothetical protein
DGMFJBHF_00030	CDS	1230	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
DGMFJBHF_00031	CDS	927		1.1.1.215	COG1052	2-ketogluconate reductase
DGMFJBHF_00032	CDS	669	gloC_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
DGMFJBHF_00033	CDS	1332	ywaD_1	3.4.11.6	COG2234	Aminopeptidase YwaD
DGMFJBHF_00034	CDS	1407	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
DGMFJBHF_00035	CDS	1092	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
DGMFJBHF_00036	CDS	1137	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
DGMFJBHF_00037	CDS	1440	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
DGMFJBHF_00038	CDS	1086	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
DGMFJBHF_00039	CDS	1401	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
DGMFJBHF_00040	CDS	1470	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
DGMFJBHF_00041	CDS	1806	ftsI	3.4.16.4		putative peptidoglycan D,D-transpeptidase FtsI
DGMFJBHF_00042	CDS	381	ftsL			Cell division protein FtsL
DGMFJBHF_00043	CDS	930	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
DGMFJBHF_00044	CDS	873	ampR_1			HTH-type transcriptional activator AmpR
DGMFJBHF_00045	CDS	930	bla	3.5.2.6		Beta-lactamase CTX-M-97
DGMFJBHF_00046	CDS	1056				hypothetical protein
DGMFJBHF_00047	CDS	624	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
DGMFJBHF_00048	CDS	480	msrB_1	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
DGMFJBHF_00049	CDS	1692	dipZ		COG0785	Protein DipZ
DGMFJBHF_00050	CDS	1416				hypothetical protein
DGMFJBHF_00051	CDS	450				hypothetical protein
DGMFJBHF_00052	CDS	759	ompV		COG3713	Outer membrane protein OmpV
DGMFJBHF_00053	CDS	708	crp			CRP-like cAMP-activated global transcriptional regulator
DGMFJBHF_00054	CDS	189				hypothetical protein
DGMFJBHF_00055	CDS	1407	cyaA_1	4.6.1.1	COG2114	Adenylate cyclase 1
DGMFJBHF_00056	CDS	477	rplM		COG0102	50S ribosomal protein L13
DGMFJBHF_00057	CDS	483	rpsI		COG0103	30S ribosomal protein S9
DGMFJBHF_00058	CDS	864				hypothetical protein
DGMFJBHF_00059	CDS	255				hypothetical protein
DGMFJBHF_00060	CDS	279				hypothetical protein
DGMFJBHF_00061	CDS	420				hypothetical protein
DGMFJBHF_00062	CDS	588				hypothetical protein
DGMFJBHF_00063	tRNA	75				tRNA-Gln(ttg)
DGMFJBHF_00064	CDS	1812	sppA	3.4.21.-	COG0616	Protease 4
DGMFJBHF_00065	CDS	2865	cirA_1		COG4771	Colicin I receptor
DGMFJBHF_00066	CDS	2118	btuB_1			Vitamin B12 transporter BtuB
DGMFJBHF_00067	CDS	765	btuB_2		COG4206	Vitamin B12 transporter BtuB
DGMFJBHF_00068	CDS	3075	btuB_3		COG4206	Vitamin B12 transporter BtuB
DGMFJBHF_00069	CDS	2067	dapb3_1	3.4.14.-		Dipeptidyl aminopeptidase BIII
DGMFJBHF_00070	CDS	1632	oppA		COG4166	Periplasmic oligopeptide-binding protein
DGMFJBHF_00071	CDS	552				hypothetical protein
DGMFJBHF_00072	CDS	906	oppC		COG1173	Oligopeptide transport system permease protein OppC
DGMFJBHF_00073	CDS	930	oppB		COG0601	Oligopeptide transport system permease protein OppB
DGMFJBHF_00074	CDS	795	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
DGMFJBHF_00075	CDS	1038	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
DGMFJBHF_00076	CDS	675	sspA		COG0625	Stringent starvation protein A
DGMFJBHF_00077	CDS	615				hypothetical protein
DGMFJBHF_00078	CDS	351	yajC		COG1862	Sec translocon accessory complex subunit YajC
DGMFJBHF_00079	CDS	1644	secD		COG0342	Protein translocase subunit SecD
DGMFJBHF_00080	CDS	1029	secF			Protein translocase subunit SecF
DGMFJBHF_00081	CDS	639				hypothetical protein
DGMFJBHF_00082	CDS	1743				hypothetical protein
DGMFJBHF_00083	CDS	1047	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
DGMFJBHF_00084	CDS	1827				hypothetical protein
DGMFJBHF_00085	CDS	1200	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
DGMFJBHF_00086	CDS	588	kstR2			HTH-type transcriptional repressor KstR2
DGMFJBHF_00087	CDS	285				hypothetical protein
DGMFJBHF_00088	CDS	603	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
DGMFJBHF_00089	CDS	924				hypothetical protein
DGMFJBHF_00090	CDS	2127	flgK		COG1256	Flagellar hook-associated protein 1
DGMFJBHF_00091	CDS	1278				hypothetical protein
DGMFJBHF_00092	CDS	678	flgD		COG1843	Basal-body rod modification protein FlgD
DGMFJBHF_00093	CDS	1413	flgE		COG1749	Flagellar hook protein FlgE
DGMFJBHF_00094	CDS	270				hypothetical protein
DGMFJBHF_00095	CDS	1632	fliF		COG1766	Flagellar M-ring protein
DGMFJBHF_00096	CDS	1008	fliG		COG1536	Flagellar motor switch protein FliG
DGMFJBHF_00097	CDS	636				hypothetical protein
DGMFJBHF_00098	CDS	348	fliN_1		COG1886	Flagellar motor switch protein FliN
DGMFJBHF_00099	CDS	1398	atoC_1		COG2204	Regulatory protein AtoC
DGMFJBHF_00100	CDS	2118	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
DGMFJBHF_00101	CDS	1131	ffh_1		COG0541	Signal recognition particle protein
DGMFJBHF_00102	CDS	684		1.14.11.-	COG3128	PKHD-type hydroxylase
DGMFJBHF_00103	CDS	2280	bfrD		COG4774	putative TonB-dependent receptor BfrD
DGMFJBHF_00104	CDS	411				hypothetical protein
DGMFJBHF_00105	CDS	1329	yscN	3.6.3.14		putative ATP synthase YscN
DGMFJBHF_00106	CDS	696	ctrA			Cell cycle response regulator CtrA
DGMFJBHF_00107	CDS	1062				hypothetical protein
DGMFJBHF_00108	CDS	582				hypothetical protein
DGMFJBHF_00109	CDS	1164	prfA		COG0216	Peptide chain release factor RF1
DGMFJBHF_00110	CDS	480				hypothetical protein
DGMFJBHF_00111	CDS	291	rpmB		COG0227	50S ribosomal protein L28
DGMFJBHF_00112	CDS	348				hypothetical protein
DGMFJBHF_00113	CDS	1002				hypothetical protein
DGMFJBHF_00114	CDS	255			COG2852	putative protein
DGMFJBHF_00115	CDS	1569	ygiS		COG4166	putative deoxycholate-binding periplasmic protein YgiS
DGMFJBHF_00116	CDS	1203	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
DGMFJBHF_00117	CDS	1227	mltB_1	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
DGMFJBHF_00118	CDS	2025				hypothetical protein
DGMFJBHF_00119	CDS	222				hypothetical protein
DGMFJBHF_00120	CDS	414				hypothetical protein
DGMFJBHF_00121	CDS	1974	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
DGMFJBHF_00122	CDS	2709	btuB_4		COG4206	Vitamin B12 transporter BtuB
DGMFJBHF_00123	CDS	1773	nfdA	3.5.1.91		N-substituted formamide deformylase
DGMFJBHF_00124	CDS	510				hypothetical protein
DGMFJBHF_00125	CDS	1374		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
DGMFJBHF_00126	CDS	711				hypothetical protein
DGMFJBHF_00127	CDS	822			COG1305	putative protein
DGMFJBHF_00128	CDS	930				hypothetical protein
DGMFJBHF_00129	CDS	1440			COG2308	putative protein
DGMFJBHF_00130	CDS	759	lvr	1.1.1.-		Levodione reductase
DGMFJBHF_00131	CDS	339				hypothetical protein
DGMFJBHF_00132	CDS	276				hypothetical protein
DGMFJBHF_00133	CDS	414				hypothetical protein
DGMFJBHF_00134	CDS	324				hypothetical protein
DGMFJBHF_00135	CDS	681	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
DGMFJBHF_00136	CDS	1098	hisZ			ATP phosphoribosyltransferase regulatory subunit
DGMFJBHF_00137	CDS	1494	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
DGMFJBHF_00138	CDS	801	arfA_1			Peptidoglycan-binding protein ArfA
DGMFJBHF_00139	CDS	2064	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
DGMFJBHF_00140	CDS	453				hypothetical protein
DGMFJBHF_00141	CDS	798				hypothetical protein
DGMFJBHF_00142	CDS	2823				hypothetical protein
DGMFJBHF_00143	CDS	2826				hypothetical protein
DGMFJBHF_00144	CDS	1845	atm1		COG5265	ATM1-type heavy metal exporter
DGMFJBHF_00145	CDS	1038	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
DGMFJBHF_00146	CDS	321	grxD		COG0278	Glutaredoxin 4
DGMFJBHF_00147	CDS	1842				hypothetical protein
DGMFJBHF_00148	CDS	1935	dapb3_2	3.4.14.-		Dipeptidyl aminopeptidase BIII
DGMFJBHF_00149	CDS	870	fixP		COG2010	Cbb3-type cytochrome c oxidase subunit FixP
DGMFJBHF_00150	CDS	195				hypothetical protein
DGMFJBHF_00151	CDS	744				hypothetical protein
DGMFJBHF_00152	CDS	1665	fixN	1.9.3.1	COG3278	Cytochrome c oxidase subunit 1 , bacteroid
DGMFJBHF_00153	CDS	297				hypothetical protein
DGMFJBHF_00154	CDS	273				hypothetical protein
DGMFJBHF_00155	CDS	204	rpmI		COG0291	50S ribosomal protein L35
DGMFJBHF_00156	CDS	360	rplT		COG0292	50S ribosomal protein L20
DGMFJBHF_00157	CDS	1080	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
DGMFJBHF_00158	CDS	2379	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
DGMFJBHF_00159	CDS	900	gmuE	2.7.1.4	COG1940	Putative fructokinase
DGMFJBHF_00160	CDS	1437	sacC	3.2.1.80	COG1621	Levanase
DGMFJBHF_00161	CDS	1485	rebH_1	1.14.19.9		Flavin-dependent tryptophan halogenase RebH
DGMFJBHF_00162	CDS	2520	btuB_5			Vitamin B12 transporter BtuB
DGMFJBHF_00163	CDS	1332				hypothetical protein
DGMFJBHF_00164	CDS	1020	rbsR_1		COG1609	Ribose operon repressor
DGMFJBHF_00165	CDS	957	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
DGMFJBHF_00166	CDS	843	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
DGMFJBHF_00167	CDS	753	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
DGMFJBHF_00168	CDS	981	fecD		COG0609	Fe(3+) dicitrate transport system permease protein FecD
DGMFJBHF_00169	CDS	885	btuF			Vitamin B12-binding protein
DGMFJBHF_00170	CDS	1821	btuB_6		COG4206	Vitamin B12 transporter BtuB
DGMFJBHF_00171	CDS	330	cdiA_1	3.1.-.-	COG3210	16S rRNA endonuclease CdiA
DGMFJBHF_00172	CDS	315				hypothetical protein
DGMFJBHF_00173	CDS	2325	cdiA_2	3.1.-.-	COG3210	16S rRNA endonuclease CdiA
DGMFJBHF_00174	CDS	381				hypothetical protein
DGMFJBHF_00175	CDS	16590	cdiA_3	3.1.-.-	COG3210	16S rRNA endonuclease CdiA
DGMFJBHF_00176	CDS	1719	shlB			Hemolysin transporter protein ShlB
DGMFJBHF_00177	CDS	1347	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
DGMFJBHF_00178	CDS	492				hypothetical protein
DGMFJBHF_00179	CDS	3228	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
DGMFJBHF_00180	CDS	474	greA		COG0782	Transcription elongation factor GreA
DGMFJBHF_00181	CDS	966				hypothetical protein
DGMFJBHF_00182	CDS	1005		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
DGMFJBHF_00183	CDS	894	dmlR_1			HTH-type transcriptional regulator DmlR
DGMFJBHF_00184	CDS	1248				hypothetical protein
DGMFJBHF_00185	CDS	825				hypothetical protein
DGMFJBHF_00186	CDS	807	pyrE_1	2.4.2.10		Orotate phosphoribosyltransferase
DGMFJBHF_00187	CDS	852				hypothetical protein
DGMFJBHF_00188	CDS	924				hypothetical protein
DGMFJBHF_00189	CDS	906	rluB_1	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
DGMFJBHF_00190	CDS	459				hypothetical protein
DGMFJBHF_00191	CDS	870	yhhW_1	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
DGMFJBHF_00192	CDS	315				hypothetical protein
DGMFJBHF_00193	CDS	558				hypothetical protein
DGMFJBHF_00194	CDS	411			COG2852	putative protein
DGMFJBHF_00195	CDS	1662	ettA		COG0488	Energy-dependent translational throttle protein EttA
DGMFJBHF_00196	CDS	612	rnd_1	3.1.13.5	COG0349	Ribonuclease D
DGMFJBHF_00197	CDS	858				hypothetical protein
DGMFJBHF_00198	CDS	531	lptA			Lipopolysaccharide export system protein LptA
DGMFJBHF_00199	CDS	768	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
DGMFJBHF_00200	CDS	1482	rpoN2		COG1508	RNA polymerase sigma-54 factor 2
DGMFJBHF_00201	CDS	342	hpf			Ribosome hibernation promotion factor
DGMFJBHF_00202	CDS	468	ptsN		COG1762	Nitrogen regulatory protein
DGMFJBHF_00203	CDS	1500	rebH_2	1.14.19.9		Flavin-dependent tryptophan halogenase RebH
DGMFJBHF_00204	CDS	1506	prnA_1	1.14.19.9		Flavin-dependent tryptophan halogenase PrnA
DGMFJBHF_00205	CDS	3021	oar_1			Protein oar
DGMFJBHF_00206	CDS	468	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
DGMFJBHF_00207	tRNA	77				tRNA-Arg(ccg)
DGMFJBHF_00208	CDS	321				hypothetical protein
DGMFJBHF_00209	CDS	405				hypothetical protein
DGMFJBHF_00210	CDS	1557				hypothetical protein
DGMFJBHF_00211	CDS	798				hypothetical protein
DGMFJBHF_00212	CDS	576				hypothetical protein
DGMFJBHF_00213	CDS	885				hypothetical protein
DGMFJBHF_00214	CDS	279				hypothetical protein
DGMFJBHF_00215	CDS	372				hypothetical protein
DGMFJBHF_00216	CDS	1179				hypothetical protein
DGMFJBHF_00217	CDS	1920				hypothetical protein
DGMFJBHF_00218	CDS	906				hypothetical protein
DGMFJBHF_00219	CDS	2667				hypothetical protein
DGMFJBHF_00220	CDS	156				Putative DNA-binding proteinA
DGMFJBHF_00221	CDS	414				hypothetical protein
DGMFJBHF_00222	CDS	972				hypothetical protein
DGMFJBHF_00223	CDS	300				hypothetical protein
DGMFJBHF_00224	CDS	306				hypothetical protein
DGMFJBHF_00225	CDS	186				hypothetical protein
DGMFJBHF_00226	CDS	168				hypothetical protein
DGMFJBHF_00227	CDS	546				hypothetical protein
DGMFJBHF_00228	CDS	759				hypothetical protein
DGMFJBHF_00229	CDS	507				hypothetical protein
DGMFJBHF_00230	CDS	147				hypothetical protein
DGMFJBHF_00231	CDS	594				hypothetical protein
DGMFJBHF_00232	CDS	948				hypothetical protein
DGMFJBHF_00233	CDS	1386				hypothetical protein
DGMFJBHF_00234	CDS	642	glnQ			Glutamine transport ATP-binding protein GlnQ
