"bin1"	"bin2"	"ANI1"	"ANI2"	"AF1"	"AF2"	"classf1"	"size1"	"completeness1"	"redundancy1"	"classf2"	"size2"	"completeness2"	"redundancy2"
"1"	"3300009517-bin.15"	"3300026288-bin.32"	99.92	99.92	0.91	0.66	"'p__Bacteroidetes'"	4296524	74.8707370737074	1.73267326732673	"'p__Bacteroidetes'"	5939362	97.029702970297	0.99009900990099
"2"	"3300009517-bin.19"	"3300026282-bin.11"	99.83	99.83	0.55	0.96	"'f__Comamonadaceae'"	3940028	99.6904024767802	1.04231166150671	"'f__Comamonadaceae'"	2222644	63.8880110188663	1.23839009287926
"3"	"3300009517-bin.19"	"3300026284-bin.18"	99.01	99.01	0.84	0.94	"'f__Comamonadaceae'"	3940028	99.6904024767802	1.04231166150671	"'f__Comamonadaceae'"	3458563	94.3319211341046	2.43550051599587
"4"	"3300009517-bin.19"	"3300026302-bin.10"	99.99	99.99	0.98	0.99	"'f__Comamonadaceae'"	3940028	99.6904024767802	1.04231166150671	"'f__Comamonadaceae'"	3876006	99.9484004127967	1.04231166150671
"5"	"3300009517-bin.20"	"3300026282-bin.15"	99.96	99.96	0.98	0.97	"'o__Actinomycetales'"	3084950	96.03861003861	4.63063063063063	"'o__Actinomycetales'"	3093982	98.018018018018	0.540540540540541
"6"	"3300009517-bin.20"	"3300026283-bin.10"	99.96	99.96	0.98	0.97	"'o__Actinomycetales'"	3084950	96.03861003861	4.63063063063063	"'o__Actinomycetales'"	3100170	98.018018018018	0.540540540540541
"7"	"3300009517-bin.20"	"3300026286-bin.24"	99.96	99.96	0.98	0.98	"'o__Actinomycetales'"	3084950	96.03861003861	4.63063063063063	"'o__Actinomycetales'"	3056910	98.018018018018	0.540540540540541
"8"	"3300009517-bin.20"	"3300026287-bin.39"	99.96	99.96	0.98	0.97	"'o__Actinomycetales'"	3084950	96.03861003861	4.63063063063063	"'o__Actinomycetales'"	3089216	98.018018018018	0.540540540540541
"9"	"3300009517-bin.20"	"3300026288-bin.39"	99.96	99.96	0.97	0.97	"'o__Actinomycetales'"	3084950	96.03861003861	4.63063063063063	"'o__Actinomycetales'"	3067318	95.8558558558559	0.585585585585586
"10"	"3300009517-bin.20"	"3300026289-bin.16"	99.94	99.95	0.51	0.94	"'o__Actinomycetales'"	3084950	96.03861003861	4.63063063063063	"'k__Bacteria'"	1663910	46.7241379310345	0
"11"	"3300009517-bin.20"	"3300026299-bin.22"	99.96	99.96	0.98	0.97	"'o__Actinomycetales'"	3084950	96.03861003861	4.63063063063063	"'o__Actinomycetales'"	3083730	98.018018018018	0.540540540540541
"12"	"3300009517-bin.20"	"3300026302-bin.26"	99.96	99.96	0.98	0.96	"'o__Actinomycetales'"	3084950	96.03861003861	4.63063063063063	"'o__Actinomycetales'"	3142539	98.018018018018	0.617760617760618
"13"	"3300009517-bin.20"	"3300026303-bin.14"	99.93	99.93	0.51	0.93	"'o__Actinomycetales'"	3084950	96.03861003861	4.63063063063063	"'o__Actinomycetales'"	1700865	48.3796653796654	0
"14"	"3300009517-bin.21"	"3300026282-bin.21"	99.99	99.99	0.92	0.97	"'p__Bacteroidetes'"	4185784	99.0147783251231	0	"'p__Bacteroidetes'"	3977724	96.4969896004379	1.47783251231527
"15"	"3300009517-bin.21"	"3300026283-bin.9"	99.99	99.99	0.79	0.96	"'p__Bacteroidetes'"	4185784	99.0147783251231	0	"'p__Bacteroidetes'"	3428687	83.9737274220033	0
"16"	"3300009517-bin.21"	"3300026284-bin.28"	100	100	1	1	"'p__Bacteroidetes'"	4185784	99.0147783251231	0	"'p__Bacteroidetes'"	4196130	99.0147783251231	0.492610837438424
"17"	"3300009517-bin.21"	"3300026287-bin.13"	100	100	0.99	0.99	"'p__Bacteroidetes'"	4185784	99.0147783251231	0	"'p__Bacteroidetes'"	4189527	99.5073891625616	0
"18"	"3300009517-bin.21"	"3300026288-bin.16"	100	100	0.98	1	"'p__Bacteroidetes'"	4185784	99.0147783251231	0	"'p__Bacteroidetes'"	4117668	97.0443349753695	0
"19"	"3300009517-bin.21"	"3300026299-bin.50"	100	100	0.98	1	"'p__Bacteroidetes'"	4185784	99.0147783251231	0	"'p__Bacteroidetes'"	4096449	95.5665024630542	0
"20"	"3300009517-bin.21"	"3300026303-bin.42"	100	100	0.99	1	"'p__Bacteroidetes'"	4185784	99.0147783251231	0	"'p__Bacteroidetes'"	4147469	98.0295566502463	0
"21"	"3300009517-bin.25"	"3300026283-bin.20"	99.99	99.99	0.98	0.97	"'o__Actinomycetales'"	4139388	98.8648648648649	0.540540540540541	"'o__Actinomycetales'"	4155238	98.9189189189189	1.08108108108108
"22"	"3300009517-bin.25"	"3300026286-bin.27"	99.99	99.99	0.98	0.98	"'o__Actinomycetales'"	4139388	98.8648648648649	0.540540540540541	"'o__Actinomycetales'"	4129518	98.9189189189189	0.594594594594595
"23"	"3300009517-bin.28"	"3300026284-bin.9"	99.8	99.8	0.91	0.65	"'c__Betaproteobacteria'"	3391220	77.271372876636	1.66666666666667	"'c__Betaproteobacteria'"	4755952	99.8412698412698	0.238095238095238
"24"	"3300009517-bin.28"	"3300026303-bin.18"	99.82	99.82	0.91	0.66	"'c__Betaproteobacteria'"	3391220	77.271372876636	1.66666666666667	"'c__Betaproteobacteria'"	4673485	99.3650793650794	0.238095238095238
"25"	"3300009517-bin.29"	"3300026286-bin.33"	99.82	99.83	0.63	0.95	"'o__Rhizobiales'"	3589362	98.5370950888192	0.167189132706374	"'o__Rhizobiales'"	2387271	68.3210390172415	1.1952288218111
"26"	"3300009517-bin.29"	"3300026302-bin.42"	99.99	99.99	0.97	0.99	"'o__Rhizobiales'"	3589362	98.5370950888192	0.167189132706374	"'o__Rhizobiales'"	3520126	98.2758620689655	0
"27"	"3300009517-bin.3"	"3300026286-bin.15"	100	100	0.97	0.98	"'o__Actinomycetales'"	3662903	98.9526411657559	0.546448087431694	"'o__Actinomycetales'"	3641867	98.6486486486486	0.725868725868726
"28"	"3300009517-bin.3"	"3300026302-bin.19"	99.99	99.99	0.95	0.99	"'o__Actinomycetales'"	3662903	98.9526411657559	0.546448087431694	"'o__Actinomycetales'"	3537019	97.2972972972973	0.648648648648649
"29"	"3300009517-bin.30"	"3300026282-bin.17"	99.9	99.9	0.97	0.99	"'o__Flavobacteriales'"	2783660	100	0.490196078431373	"'o__Flavobacteriales'"	2748949	99.2647058823529	0.245098039215686
"30"	"3300009517-bin.30"	"3300026283-bin.26"	99.9	99.9	0.98	0.97	"'o__Flavobacteriales'"	2783660	100	0.490196078431373	"'o__Flavobacteriales'"	2829154	99.5098039215686	0.245098039215686
"31"	"3300009517-bin.30"	"3300026288-bin.5"	99.92	99.92	0.99	0.98	"'o__Flavobacteriales'"	2783660	100	0.490196078431373	"'o__Flavobacteriales'"	2810790	99.5098039215686	0.408496732026144
"32"	"3300009517-bin.36"	"3300026288-bin.17"	99.98	99.98	0.95	0.9	"'k__Bacteria'"	4795255	91.1680911680912	0.427350427350427	"'k__Bacteria'"	5081691	97.4358974358974	0.56980056980057
"33"	"3300009517-bin.36"	"3300026302-bin.62"	99.97	99.97	0.95	0.89	"'k__Bacteria'"	4795255	91.1680911680912	0.427350427350427	"'k__Bacteria'"	5174124	97.4358974358974	0.56980056980057
"34"	"3300009517-bin.37"	"3300026283-bin.13"	100	100	0.99	0.99	"'f__Xanthomonadaceae'"	3615735	99.6059113300493	0.890804597701149	"'f__Xanthomonadaceae'"	3628147	99.7610837438423	0.890804597701149
"35"	"3300009517-bin.37"	"3300026288-bin.14"	99.99	99.99	0.94	0.97	"'f__Xanthomonadaceae'"	3615735	99.6059113300493	0.890804597701149	"'k__Bacteria'"	3514763	83.0721003134796	0
"36"	"3300009517-bin.37"	"3300026302-bin.46"	100	100	1	0.99	"'f__Xanthomonadaceae'"	3615735	99.6059113300493	0.890804597701149	"'f__Xanthomonadaceae'"	3641589	99.9507389162562	0.890804597701149
"37"	"3300009517-bin.37"	"3300026303-bin.22"	99.97	99.97	0.92	0.95	"'f__Xanthomonadaceae'"	3615735	99.6059113300493	0.890804597701149	"'f__Xanthomonadaceae'"	3519879	93.7659849728815	1.88192267502612
"38"	"3300009517-bin.39"	"3300026283-bin.4"	99.54	99.54	0.97	0.92	"'f__Xanthomonadaceae'"	2769552	98.1264367816092	0.915161466885605	"'f__Xanthomonadaceae'"	2875643	98.9080459770115	0
