locus_tag	ftype	length_bp	gene	EC_number	COG	product
KBJPLPBP_00001	CDS	411	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
KBJPLPBP_00002	CDS	1332	adeP		COG2252	Adenine permease AdeP
KBJPLPBP_00003	CDS	306				Ferredoxin, 2Fe-2S
KBJPLPBP_00004	CDS	2094	prc	3.4.21.102	COG0793	Tail-specific protease
KBJPLPBP_00005	CDS	780	mip	5.2.1.8	COG0545	Outer membrane protein MIP
KBJPLPBP_00006	CDS	909	ybbA_1		COG2819	putative protein YbbA
KBJPLPBP_00007	CDS	1377				hypothetical protein
KBJPLPBP_00008	CDS	732				hypothetical protein
KBJPLPBP_00009	CDS	1593	nylB_1	3.5.1.46		6-aminohexanoate-dimer hydrolase
KBJPLPBP_00010	CDS	855				hypothetical protein
KBJPLPBP_00011	CDS	1770	lmrA	3.6.3.44	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
KBJPLPBP_00012	CDS	1224	aroA_1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
KBJPLPBP_00013	CDS	939				hypothetical protein
KBJPLPBP_00014	CDS	576		2.3.1.-		Putative acetyltransferase
KBJPLPBP_00015	CDS	771		2.4.-.-	COG0463	putative glycosyltransferase
KBJPLPBP_00016	CDS	1215	wecA_1	2.7.8.35	COG0472	Decaprenyl-phosphate N-acetylglucosaminephosphotransferase
KBJPLPBP_00017	CDS	594				hypothetical protein
KBJPLPBP_00018	CDS	168				hypothetical protein
KBJPLPBP_00019	CDS	477				hypothetical protein
KBJPLPBP_00020	CDS	1014	ltaA	4.1.2.49		L-allo-threonine aldolase
KBJPLPBP_00021	CDS	381				hypothetical protein
KBJPLPBP_00022	CDS	480				hypothetical protein
KBJPLPBP_00023	CDS	2964	celE	3.2.1.4	COG2730	Endoglucanase E-5
KBJPLPBP_00024	CDS	750				hypothetical protein
KBJPLPBP_00025	CDS	1251	pgtP		COG2271	Phosphoglycerate transporter protein
KBJPLPBP_00026	CDS	1059		1.1.1.301		D-arabitol-phosphate dehydrogenase
KBJPLPBP_00027	CDS	1449	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
KBJPLPBP_00028	CDS	1878				hypothetical protein
KBJPLPBP_00029	CDS	1374				hypothetical protein
KBJPLPBP_00030	CDS	666				hypothetical protein
KBJPLPBP_00031	CDS	942	lieA	3.4.24.-		Leupeptin-inactivating enzyme 1
KBJPLPBP_00032	CDS	246				hypothetical protein
KBJPLPBP_00033	CDS	573	puuR			HTH-type transcriptional regulator PuuR
KBJPLPBP_00034	CDS	1179	ypdA_1	2.7.13.3	COG3275	Sensor histidine kinase YpdA
