locus_tag	ftype	length_bp	gene	EC_number	COG	product
NFAKBJDI_00001	CDS	504	hybB_1		COG5557	putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit
NFAKBJDI_00002	CDS	1035	fdnH		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
NFAKBJDI_00003	CDS	1188	hybO	1.12.99.6	COG1740	Hydrogenase-2 small chain
NFAKBJDI_00004	CDS	1386	dctB	2.7.13.3		C4-dicarboxylate transport sensor protein DctB
NFAKBJDI_00005	tRNA	77				tRNA-Val(gac)
NFAKBJDI_00006	CDS	615	lolA_1		COG2834	Outer-membrane lipoprotein carrier protein
NFAKBJDI_00007	CDS	2505	ftsK		COG1674	DNA translocase FtsK
NFAKBJDI_00008	CDS	726	crp_1		COG0664	cAMP-activated global transcriptional regulator CRP
NFAKBJDI_00009	CDS	966		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
NFAKBJDI_00010	CDS	567	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
NFAKBJDI_00011	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
NFAKBJDI_00012	CDS	1611	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
NFAKBJDI_00013	CDS	549	ppa_1	3.6.1.1	COG0221	Inorganic pyrophosphatase
NFAKBJDI_00014	CDS	708	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
NFAKBJDI_00015	CDS	2535	pkn1_1	2.7.11.1	COG0515	Serine/threonine-protein kinase pkn1
NFAKBJDI_00016	CDS	2937			COG2200	putative signaling protein
NFAKBJDI_00017	CDS	1533				hypothetical protein
NFAKBJDI_00018	CDS	1314			COG0683	Leu/Ile/Val-binding protein 
NFAKBJDI_00019	CDS	1269	ppk2	2.7.4.1	COG2326	Polyphosphate:ADP/GDP phosphotransferase
NFAKBJDI_00020	CDS	648	nagL	5.2.1.4		Maleylpyruvate isomerase
NFAKBJDI_00021	CDS	1032	yisK		COG0179	putative protein YisK
NFAKBJDI_00022	CDS	537	fosB	2.5.1.-		Metallothiol transferase FosB
NFAKBJDI_00023	CDS	606	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
NFAKBJDI_00024	CDS	804	fetB		COG0390	putative iron export permease protein FetB
NFAKBJDI_00025	CDS	552		1.6.5.7		2-hydroxy-1,4-benzoquinone reductase
NFAKBJDI_00026	CDS	2316				hypothetical protein
NFAKBJDI_00027	CDS	843	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
NFAKBJDI_00028	CDS	327				hypothetical protein
NFAKBJDI_00029	CDS	3498	cya_1			Bifunctional hemolysin/adenylate cyclase
NFAKBJDI_00030	CDS	3279	egtB_1	1.14.99.50	COG1262	Hercynine oxygenase
NFAKBJDI_00031	CDS	1059	ltrA_1		COG3344	Group II intron-encoded protein LtrA
NFAKBJDI_00032	CDS	711				hypothetical protein
NFAKBJDI_00033	CDS	2655	pkn1_2	2.7.11.1	COG0515	Serine/threonine-protein kinase pkn1
NFAKBJDI_00034	CDS	1728				hypothetical protein
NFAKBJDI_00035	CDS	1017	srpA	1.11.1.-	COG0753	Catalase-related peroxidase
NFAKBJDI_00036	CDS	2271	norB	1.7.2.5		Nitric oxide reductase subunit B
NFAKBJDI_00037	CDS	441	nsrR		COG1959	HTH-type transcriptional repressor NsrR
NFAKBJDI_00038	CDS	450			COG0659	putative sulfate transporter
NFAKBJDI_00039	CDS	780			COG0659	putative sulfate transporter
NFAKBJDI_00040	tRNA	76				tRNA-His(gtg)
NFAKBJDI_00041	tRNA	77				tRNA-Arg(tct)
NFAKBJDI_00042	tRNA	77				tRNA-Pro(tgg)
NFAKBJDI_00043	CDS	1236	rcnA		COG2215	Nickel/cobalt efflux system RcnA
NFAKBJDI_00044	CDS	270	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
NFAKBJDI_00045	CDS	1290	chrA1			Chromate transport protein
NFAKBJDI_00046	CDS	2079	uvrB		COG0556	UvrABC system protein B
NFAKBJDI_00047	CDS	1203	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
NFAKBJDI_00048	CDS	1878				hypothetical protein
NFAKBJDI_00049	tRNA	76				tRNA-Asn(gtt)
NFAKBJDI_00050	CDS	1242		3.1.4.-	COG2206	3'3'-cGAMP-specific phosphodiesterase 1
NFAKBJDI_00051	CDS	1512	glpK	2.7.1.30	COG0554	Glycerol kinase
NFAKBJDI_00052	CDS	582	acrR		COG1309	HTH-type transcriptional regulator AcrR
NFAKBJDI_00053	CDS	750	etfB			Electron transfer flavoprotein subunit beta
NFAKBJDI_00054	CDS	933	etfA		COG2025	Electron transfer flavoprotein subunit alpha
NFAKBJDI_00055	CDS	666				hypothetical protein
NFAKBJDI_00056	CDS	1386				hypothetical protein
NFAKBJDI_00057	CDS	1794	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
NFAKBJDI_00058	CDS	405		3.1.-.-	COG0824	Putative esterase
NFAKBJDI_00059	CDS	1971	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
NFAKBJDI_00060	CDS	1665	ettA		COG0488	Energy-dependent translational throttle protein EttA
NFAKBJDI_00061	CDS	699	regX3_1		COG0745	Sensory transduction protein regX3
NFAKBJDI_00062	CDS	1650				hypothetical protein
NFAKBJDI_00063	CDS	1983	tcrY	2.7.13.3		putative sensor histidine kinase TcrY
NFAKBJDI_00064	CDS	966	tdcB	4.3.1.19		L-threonine dehydratase catabolic TdcB
NFAKBJDI_00065	CDS	1422	gshA	6.3.2.2		Glutamate--cysteine ligase
NFAKBJDI_00066	CDS	1050				hypothetical protein
NFAKBJDI_00067	CDS	951				hypothetical protein
NFAKBJDI_00068	CDS	1539	dosC_1	2.7.7.65		Diguanylate cyclase DosC
NFAKBJDI_00069	CDS	984	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
NFAKBJDI_00070	CDS	714	trmB_1	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
NFAKBJDI_00071	CDS	2607	acnB_1	4.2.1.3	COG1049	Aconitate hydratase B
NFAKBJDI_00072	CDS	1659				hypothetical protein
NFAKBJDI_00073	CDS	1050				hypothetical protein
NFAKBJDI_00074	CDS	171				hypothetical protein
NFAKBJDI_00075	CDS	528	pka	2.3.1.-	COG0454	Protein lysine acetyltransferase Pka
NFAKBJDI_00076	CDS	1455	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
NFAKBJDI_00077	CDS	1080				hypothetical protein
NFAKBJDI_00078	CDS	717				hypothetical protein
NFAKBJDI_00079	CDS	144				hypothetical protein
NFAKBJDI_00080	CDS	414	fitB_1	3.1.-.-		Toxin FitB
NFAKBJDI_00081	CDS	258	relF		COG2161	Antitoxin RelF
NFAKBJDI_00082	CDS	252				hypothetical protein
NFAKBJDI_00083	CDS	240				hypothetical protein
NFAKBJDI_00084	CDS	843				hypothetical protein
NFAKBJDI_00085	CDS	5946				hypothetical protein
NFAKBJDI_00086	CDS	1971				hypothetical protein
NFAKBJDI_00087	CDS	693	rluA	5.4.99.28	COG0564	Ribosomal large subunit pseudouridine synthase A
NFAKBJDI_00088	CDS	555				hypothetical protein
NFAKBJDI_00089	CDS	828		4.2.1.150	COG1024	Crotonyl-CoA hydratase
NFAKBJDI_00090	CDS	939				hypothetical protein
NFAKBJDI_00091	CDS	681	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
NFAKBJDI_00092	CDS	1248	pyrD_1	1.3.-.-		Dihydroorotate dehydrogenase
NFAKBJDI_00093	CDS	846	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
NFAKBJDI_00094	CDS	390				hypothetical protein
NFAKBJDI_00095	CDS	984	mcl1	4.1.3.24	COG2301	L-malyl-CoA/beta-methylmalyl-CoA lyase
NFAKBJDI_00096	CDS	987	mdh_1	1.1.1.37		Malate dehydrogenase
NFAKBJDI_00097	CDS	669	frlR		COG2188	putative fructoselysine utilization operon transcriptional repressor
NFAKBJDI_00098	CDS	393	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
NFAKBJDI_00099	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
NFAKBJDI_00100	CDS	1785	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
NFAKBJDI_00101	CDS	714	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
NFAKBJDI_00102	CDS	255	sdhE		COG2938	FAD assembly factor SdhE
NFAKBJDI_00103	CDS	1293	gltA_1	2.3.3.16	COG0372	Citrate synthase
NFAKBJDI_00104	CDS	2841	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
NFAKBJDI_00105	CDS	1263	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
NFAKBJDI_00106	CDS	1437	lpd	1.8.1.4		Dihydrolipoyl dehydrogenase
NFAKBJDI_00107	CDS	675				hypothetical protein
NFAKBJDI_00108	CDS	633	gloC_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
NFAKBJDI_00109	CDS	120				hypothetical protein
NFAKBJDI_00110	CDS	246				hypothetical protein
NFAKBJDI_00111	CDS	591				hypothetical protein
NFAKBJDI_00112	CDS	642				hypothetical protein
NFAKBJDI_00113	CDS	1458				hypothetical protein
NFAKBJDI_00114	CDS	885				hypothetical protein
NFAKBJDI_00115	CDS	1401				hypothetical protein
NFAKBJDI_00116	CDS	894				hypothetical protein
NFAKBJDI_00117	CDS	834		3.1.1.10		Tropinesterase
NFAKBJDI_00118	CDS	210				hypothetical protein
NFAKBJDI_00119	CDS	348				hypothetical protein
NFAKBJDI_00120	CDS	699	ygaZ_1		COG1296	Inner membrane protein YgaZ
NFAKBJDI_00121	CDS	321				hypothetical protein
NFAKBJDI_00122	CDS	567	greB		COG0782	Transcription elongation factor GreB
NFAKBJDI_00123	CDS	1920	htpG		COG0326	Chaperone protein HtpG
NFAKBJDI_00124	CDS	507				hypothetical protein
NFAKBJDI_00125	CDS	519				hypothetical protein
NFAKBJDI_00126	CDS	1794	epsE_1		COG2804	Type II secretion system protein E
NFAKBJDI_00127	CDS	2199	katG	1.11.1.21		Catalase-peroxidase
NFAKBJDI_00128	CDS	168				hypothetical protein
NFAKBJDI_00129	CDS	1875	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
NFAKBJDI_00130	CDS	3720	recB_1	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
NFAKBJDI_00131	CDS	3342	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
NFAKBJDI_00132	CDS	729				hypothetical protein
NFAKBJDI_00133	CDS	654	leuE		COG1280	Leucine efflux protein
NFAKBJDI_00134	CDS	1311		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
NFAKBJDI_00135	CDS	591				hypothetical protein
NFAKBJDI_00136	CDS	1275				hypothetical protein
NFAKBJDI_00137	CDS	1248				hypothetical protein
NFAKBJDI_00138	CDS	636				hypothetical protein
NFAKBJDI_00139	CDS	1725	bacA		COG4178	Vitamin B12 transport ATP-binding protein BacA
NFAKBJDI_00140	CDS	921	dmlR_1			HTH-type transcriptional regulator DmlR
NFAKBJDI_00141	CDS	1221	oxlT			Oxalate:formate antiporter
NFAKBJDI_00142	CDS	441	menI	3.1.2.28	COG2050	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
NFAKBJDI_00143	CDS	1185	adh1	1.1.1.192	COG1454	Long-chain-alcohol dehydrogenase 1
NFAKBJDI_00144	CDS	294	lsrG	5.3.1.32	COG1359	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
NFAKBJDI_00145	CDS	888	pknD	2.7.11.1		Serine/threonine-protein kinase PknD
NFAKBJDI_00146	CDS	774				hypothetical protein
NFAKBJDI_00147	CDS	960				hypothetical protein
NFAKBJDI_00148	CDS	774				hypothetical protein
NFAKBJDI_00149	CDS	1599				hypothetical protein
NFAKBJDI_00150	CDS	2568				hypothetical protein
NFAKBJDI_00151	CDS	399	yecN		COG3788	Inner membrane protein YecN
NFAKBJDI_00152	CDS	180				hypothetical protein
NFAKBJDI_00153	CDS	2175				hypothetical protein
NFAKBJDI_00154	CDS	810				hypothetical protein
NFAKBJDI_00155	CDS	714	fabR		COG1309	HTH-type transcriptional repressor FabR
NFAKBJDI_00156	CDS	1920	dmdC_2	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
NFAKBJDI_00157	CDS	2664	pat_1	2.3.1.-	COG0454	Protein lysine acetyltransferase Pat
NFAKBJDI_00158	CDS	417				hypothetical protein
NFAKBJDI_00159	CDS	993	rpnA	3.1.21.-	COG5464	Recombination-promoting nuclease RpnA
NFAKBJDI_00160	tRNA	73				tRNA-Arg(cct)
NFAKBJDI_00161	CDS	1917	uup		COG0488	ABC transporter ATP-binding protein uup
NFAKBJDI_00162	CDS	1176	ydcO		COG3135	Inner membrane protein YdcO
NFAKBJDI_00163	CDS	867			COG1752	putative NTE family protein
NFAKBJDI_00164	CDS	1281				hypothetical protein
NFAKBJDI_00165	CDS	1383				hypothetical protein
NFAKBJDI_00166	CDS	384	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
NFAKBJDI_00167	CDS	846	panC	6.3.2.1		Pantothenate synthetase
NFAKBJDI_00168	CDS	813	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
NFAKBJDI_00169	CDS	1227	mcpS_1		COG0840	Methyl-accepting chemotaxis protein McpS
NFAKBJDI_00170	CDS	231				hypothetical protein
NFAKBJDI_00171	CDS	525	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
NFAKBJDI_00172	CDS	1347	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
NFAKBJDI_00173	CDS	666	serB1	3.1.3.3	COG0560	Phosphoserine phosphatase SerB1
NFAKBJDI_00174	CDS	657	hda		COG0593	DnaA regulatory inactivator Hda
NFAKBJDI_00175	CDS	1038	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
NFAKBJDI_00176	CDS	336				hypothetical protein
NFAKBJDI_00177	CDS	1221	mdtA_1			Multidrug resistance protein MdtA
NFAKBJDI_00178	CDS	3081	bepE_1			Efflux pump membrane transporter BepE
NFAKBJDI_00179	CDS	147				hypothetical protein
NFAKBJDI_00180	CDS	135				hypothetical protein
NFAKBJDI_00181	CDS	99				hypothetical protein
NFAKBJDI_00182	CDS	888	dauP	3.1.1.-		Rhodomycin D methylesterase DauP
NFAKBJDI_00183	CDS	1455	cho_1	3.1.25.-	COG0322	Excinuclease cho
